,corr_with_age,corr_with_MetSCORE,corr_with_sex,abs_sum
Erythrocyte sedimentation rate (mm/h),0.430220,0.330597,-0.316099,1.076916
Glucose (mM),0.322620,0.633174,0.022540,0.978334
"1,5-Anhydrosorbitol (mM)",-0.286172,-0.223770,0.323188,0.833130
Leucine (mM),-0.089228,0.198283,0.533826,0.821338
Isoleucine (mM),-0.050519,0.266334,0.501838,0.818692
Urea to creatinine ratio (unitless),0.299410,0.160553,-0.353904,0.813866
Erythrocytes (T/l),-0.147725,0.050322,0.609394,0.807441
Pyruvic acid (mM),0.235517,0.338012,-0.226435,0.799964
HDL cholesterol (mg/dl),-0.043088,-0.380840,-0.342585,0.766513
Urate (mg/dl),0.105029,0.205495,0.440152,0.750676
Triglycerides (mg/dl),0.180340,0.426185,0.136168,0.742693
Urea (mg/dl),0.353293,0.302547,0.083776,0.739616
Creatine (mM),0.209464,0.180641,-0.334220,0.724326
Valine (mM),-0.058239,0.221904,0.432655,0.712798
Lactate to pyruvate ratio (unitless),-0.195821,-0.190638,0.305940,0.692399
Myo-inositol (mM),0.288233,0.284204,0.097204,0.669641
Albumin (g/dl),-0.353420,-0.063514,0.247140,0.664074
2-Hydroxybutyric acid (mM),0.152197,0.381034,0.109250,0.642481
Alanine (mM),0.213262,0.369000,0.058911,0.641173
Glyc A (mM),0.181413,0.374388,-0.054641,0.610442
SPC (mM),0.035377,-0.212294,-0.359716,0.607388
Creatinine (mM),-0.002775,0.104547,0.488270,0.595593
Glycerol (mM),0.181068,0.150633,-0.262879,0.594581
Estimated Glomerular Filtration Rate (ml/min/1.73m²),-0.244304,-0.076792,-0.241803,0.562899
Tyrosine (mM),0.157765,0.245105,0.155039,0.557909
BCAA to AAA (Phe+Tyr) ratio (unitless),-0.212421,-0.005660,0.335293,0.553374
Apolipoprotein B (mg/ml),0.292557,0.221574,-0.032101,0.546232
GlycB to GlycA ratio (unitless),-0.222643,-0.141406,-0.180061,0.544110
Formic acid (mM),0.201328,0.328449,-0.012149,0.541925
Citric acid (mM),0.229162,0.203936,-0.103077,0.536175
Proline (mM),0.016589,0.242838,0.253714,0.513142
Calcium (mg/dl),-0.113881,0.200440,0.194035,0.508356
Betaine (mM),0.123159,0.159445,0.204664,0.487269
Glycine (mM),0.025562,-0.220226,-0.238617,0.484405
3-Hydroxyisobutyric acid (mM),-0.049442,0.243760,0.187507,0.480709
Glutamic acid (mM),0.135177,0.178056,0.156513,0.469745
Lysine (mM),0.132656,0.148105,0.187549,0.468310
C reactive protein (mg/dl),0.197515,0.221161,-0.032867,0.451543
Ornithine (mM),0.169204,0.074034,0.207592,0.450830
Dimethylamine (mM),0.223020,0.169795,0.052937,0.445751
Serine (mM),-0.127820,-0.182454,-0.118793,0.429067
Ethanol (mM),0.138532,0.200924,-0.064363,0.403819
Choline (mM),0.108681,0.099845,0.186871,0.395397
Leukocytes (G/l),0.014058,0.279518,0.101089,0.394665
Asparagine (mM),-0.121894,-0.122035,0.109267,0.353197
Platelets (G/l),-0.089823,-0.058148,-0.200803,0.348774
Sarcosine (mM),0.038091,0.128491,0.162459,0.329041
Methanol (mM),0.139630,0.177522,0.007580,0.324733
Iron (µg/dl),-0.092218,-0.059741,0.169436,0.321395
Glutamine (mM),0.044129,-0.075847,0.198806,0.318781
Lactic acid (mM),0.015991,0.134953,0.164310,0.315255
Methionine (mM),-0.049008,0.049484,0.206499,0.304991
Cystine (mM),0.187194,0.021973,0.085819,0.294986
Histidine (mM),-0.055969,-0.139386,0.081113,0.276468
Phenylalanine (mM),0.111905,0.129889,0.033304,0.275098
2-Aminobutyric acid (mM),0.001214,0.097854,0.171335,0.270403
Transferrin (mg/dl),-0.094057,0.062593,-0.103462,0.260112
Glutamine to glutamate ratio (unitless),-0.047088,-0.127386,-0.082084,0.256558
Acetoacetic acid (mM),0.090711,0.119598,0.044506,0.254816
LDL cholesterol (mg/dl),0.214526,-0.016274,0.023852,0.254652
Acetone (mM),0.044473,0.088792,0.104256,0.237522
Trimethylamine-N-oxide (mM),0.050600,0.070495,0.079774,0.200869
Lipoprotein(a) (mg/dl),0.107417,0.046252,-0.047185,0.200854
Non-albumin protein (g/dl),-0.073670,-0.084257,-0.033712,0.191638
Succinic acid (mM),0.106374,-0.015758,-0.059447,0.181579
Arginine (mM),0.031415,0.050135,0.051958,0.133508
Bilirubin (mg/dl),-0.049877,0.023971,0.052516,0.126364
Threonine (mM),-0.058446,-0.014722,-0.048079,0.121248
"N,N-Dimethylglycine (mM)",0.016941,0.047603,0.054949,0.119494
2-Oxoglutaric acid (mM),-0.007256,0.045252,-0.055938,0.108446
D-Galactose (mM),0.020106,0.058480,-0.008108,0.086694
Dimethylsulfone (mM),0.057592,0.004918,-0.023819,0.086329
3-Hydroxybutyric acid (mM),0.024312,0.036349,0.020383,0.081043
Acetic acid (mM),0.024792,-0.014245,0.036701,0.075739
Aspartate (mM),-0.012508,-0.013274,-0.018042,0.043823
